"id","phase","scenario","fixture_or_action","expected_observation","hard_gate","evidence_location","outcome","owner","notes"
"S01","discovery","Exact product name","Search the exact fixture product name","Expected product is returned with the intended locale","no","REPORT.md#s01","pass","YCY Consulting","One strict result for Benchmark Trail Trainers; valid strict result was not replaced by broader recovery"
"S02","discovery","SKU or reference","Search the exact fixture SKU or reference","Expected product and combination are unambiguous","no","REPORT.md#s02","pass","YCY Consulting","Product reference exact; NPBENCH-TEE-L resolved attribute 43 Large/Red and zero stock"
"S03","discovery","Accent handling","Search the accented and unaccented fixture terms","Documented language behavior is reproducible","no","REPORT.md#s03","pass","YCY Consulting","café and cafe resolved the fixture mug"
"S04","discovery","Approved synonym","Search both terms in the fixture synonym pair","Both terms produce the documented result set","no","REPORT.md#s04","pass","YCY Consulting","Configured sneakers synonym resolved trainers and one intended product"
"S05","discovery","One-character typo","Search the intentional typo and the correct form","Typo behavior matches the documented scope without unrelated results","no","REPORT.md#s05","pass","YCY Consulting","Unconfigured trainerz recovered Trail Trainers without unrelated products"
"S06","discovery","Zero-result recovery","Search a term designed to return no result","The empty state is clear and does not fabricate matching products","no","REPORT.md#s06","pass","YCY Consulting","Explicit empty state and zero products"
"S07","visibility","Disabled or hidden product","Search the disabled or hidden fixture product","The product is not exposed through search","yes","REPORT.md#s07","pass","YCY Consulting","Inactive visibility-none telescope stayed absent before and after rebuild"
"S08","catalogue","Stock state","Search the in-stock and out-of-stock fixture products","Visibility and labels follow the shop's documented stock policy","no","REPORT.md#s08","pass","YCY Consulting","Simple product followed stock policy; zero-stock Large/Red combination disabled Add to cart"
"S09","catalogue","Price and currency","Search in each enabled currency context","Displayed price and currency match the product page and cart","yes","REPORT.md#s09","pass","YCY Consulting","EUR and USD contexts stayed consistent; exercised USD cart total was $117.89"
"S10","navigation","Facets and categories","Apply two attributes and a category to the fixture set","Counts and results remain internally consistent","no","REPORT.md#s10","pass","YCY Consulting","Four groups visible; More filters revealed overflow; Size plus Blue returned the consistent fixture result"
"S11","navigation","Combination selection","Open and add the fixture product combination from results","The intended combination reaches the product page and cart","yes","REPORT.md#s11","pass","YCY Consulting","Four choices represented; Small/Blue addable; Large/Red identity and unavailable state preserved"
"S12","storefront","Result-to-cart continuity","Search then add the fixture product to cart","Product identity quantity price tax context and stock rule remain correct","yes","REPORT.md#s12","pass","YCY Consulting","Exact simple product added from overlay with intended identity quantity price stock and currency"
"S13","localisation","Locale isolation","Repeat the fixture in every supported shop language","Terms labels URLs and results follow the active locale","no","REPORT.md#s13","not_applicable","YCY Consulting","Primary fixture intentionally enabled English only; additional languages still require testing"
"S14","indexing","Incremental catalogue change","Change fixture name price stock and category then run the documented update path","Search converges to the changed catalogue state without stale duplicates","yes","REPORT.md#s14","pass","YCY Consulting","Updated product appeared once with new name price stock and category; old exact term returned zero"
"S15","indexing","Full rebuild","Run the documented full rebuild in staging and record duration and resource impact","Rebuild completes and the full fixture remains correct","yes","REPORT.md#s15","pass","YCY Consulting","25 indexed products; 85-95 ms and 25165824-byte PHP peak on tiny fixture; not a scale benchmark"
"S16","operations","Failure and recovery","Interrupt or fail a staging index update using a safe documented method","Failure is observable and the documented recovery restores a valid index","yes","REPORT.md#s16","pass","YCY Consulting","Single product index clear produced zero; documented recovery restored one expected result"
"S17","data boundary","External services","Inventory every catalogue query click and order field sent outside the shop","Data flow retention deletion and ownership are documented","yes","REPORT.md#s17","pass","YCY Consulting","Observed NP Search flow stayed first-party; unrelated blockreassurance URL defect and scope limits disclosed"
"S18","rollback","Restore prior search","Execute the written rollback and rerun the fixture","Prior search behavior is restored and hard gates pass","yes","REPORT.md#s18","pass","YCY Consulting","Uninstall removed checked module data/resources and native search resumed; clean 2.13.4 install passed again"
