"id","phase","scenario","fixture_or_action","expected_observation","hard_gate","evidence_location","outcome","owner","notes"
"S01","discovery","Exact product name","Search the exact fixture product name","Expected product is returned with the intended locale","no","","","",""
"S02","discovery","SKU or reference","Search the exact fixture SKU or reference","Expected product and combination are unambiguous","no","","","",""
"S03","discovery","Accent handling","Search the accented and unaccented fixture terms","Documented language behavior is reproducible","no","","","",""
"S04","discovery","Approved synonym","Search both terms in the fixture synonym pair","Both terms produce the documented result set","no","","","",""
"S05","discovery","One-character typo","Search the intentional typo and the correct form","Typo behavior matches the documented scope without unrelated results","no","","","",""
"S06","discovery","Zero-result recovery","Search a term designed to return no result","The empty state is clear and does not fabricate matching products","no","","","",""
"S07","visibility","Disabled or hidden product","Search the disabled or hidden fixture product","The product is not exposed through search","yes","","","",""
"S08","catalogue","Stock state","Search the in-stock and out-of-stock fixture products","Visibility and labels follow the shop's documented stock policy","no","","","",""
"S09","catalogue","Price and currency","Search in each enabled currency context","Displayed price and currency match the product page and cart","yes","","","",""
"S10","navigation","Facets and categories","Apply two attributes and a category to the fixture set","Counts and results remain internally consistent","no","","","",""
"S11","navigation","Combination selection","Open and add the fixture product combination from results","The intended combination reaches the product page and cart","yes","","","",""
"S12","storefront","Result-to-cart continuity","Search then add the fixture product to cart","Product identity quantity price tax context and stock rule remain correct","yes","","","",""
"S13","localisation","Locale isolation","Repeat the fixture in every supported shop language","Terms labels URLs and results follow the active locale","no","","","",""
"S14","indexing","Incremental catalogue change","Change fixture name price stock and category then run the documented update path","Search converges to the changed catalogue state without stale duplicates","yes","","","",""
"S15","indexing","Full rebuild","Run the documented full rebuild in staging and record duration and resource impact","Rebuild completes and the full fixture remains correct","yes","","","",""
"S16","operations","Failure and recovery","Interrupt or fail a staging index update using a safe documented method","Failure is observable and the documented recovery restores a valid index","yes","","","",""
"S17","data boundary","External services","Inventory every catalogue query click and order field sent outside the shop","Data flow retention deletion and ownership are documented","yes","","","",""
"S18","rollback","Restore prior search","Execute the written rollback and rerun the fixture","Prior search behavior is restored and hard gates pass","yes","","","",""
